tournament_name,day,time,team_a,team_b
RU's Glorious e-Sport Extravaganza 2025,1,08:00,StackOverflow Stackers,CacheHit Crusaders
RU's Glorious e-Sport Extravaganza 2025,1,10:00,NullPointer Ninjas,Pepsi Max Overflow
RU's Glorious e-Sport Extravaganza 2025,1,12:00,NullPointer Ninjas,Bomblab Bombers
RU's Glorious e-Sport Extravaganza 2025,1,14:00,WhileTrue Tryhards,Undefined Behavior United
RU's Glorious e-Sport Extravaganza 2025,1,16:00,NullPointer Ninjas,Pepsi Max Punishers
RU's Glorious e-Sport Extravaganza 2025,1,18:00,RaceCondition Racers,Pepsi Max Overflow
RU's Glorious e-Sport Extravaganza 2025,1,20:00,Chuck Norris Fan Club,Assembly Avengers
RU's Glorious e-Sport Extravaganza 2025,2,08:00,IndentationError Invaders,Bomblab Bombers
RU's Glorious e-Sport Extravaganza 2025,2,10:00,Undefined Behavior United,Pepsi Max Overflow
RU's Glorious e-Sport Extravaganza 2025,2,12:00,StackOverflow Stackers,Pepsi Max Overflow
RU's Glorious e-Sport Extravaganza 2025,2,14:00,Segmentation Foul,Pepsi Max Overflow
RU's Glorious e-Sport Extravaganza 2025,2,16:00,Chuck Norris Fan Club,CacheHit Crusaders
RU's Glorious e-Sport Extravaganza 2025,2,18:00,IndentationError Invaders,Assembly Avengers
RU's Glorious e-Sport Extravaganza 2025,2,20:00,Pepsi Max Punishers,CacheHit Crusaders
RU's Glorious e-Sport Extravaganza 2025,3,08:00,RaceCondition Racers,Undefined Behavior United
RU's Glorious e-Sport Extravaganza 2025,3,10:00,CacheHit Crusaders,Pepsi Max Overflow
RU's Glorious e-Sport Extravaganza 2025,3,12:00,OffByOne Offense,Segmentation Foul
RU's Glorious e-Sport Extravaganza 2025,3,14:00,Pepsi Max Punishers,Datalab Dominators
RU's Glorious e-Sport Extravaganza 2025,3,16:00,SegFault Spartans,RaceCondition Racers
RU's Glorious e-Sport Extravaganza 2025,3,18:00,Pepsi Max Punishers,RaceCondition Racers
RU's Glorious e-Sport Extravaganza 2025,3,20:00,IndentationError Invaders,RaceCondition Racers
RU's Glorious e-Sport Extravaganza 2025,4,08:00,SegFault Spartans,Assembly Avengers
RU's Glorious e-Sport Extravaganza 2025,4,10:00,Bomblab Bombers,RaceCondition Racers
RU's Glorious e-Sport Extravaganza 2025,4,12:00,OffByOne Offense,Pepsi Max Punishers
RU's Glorious e-Sport Extravaganza 2025,4,14:00,Chuck Norris Fan Club,RaceCondition Racers
RU's Glorious e-Sport Extravaganza 2025,4,16:00,SegFault Spartans,CacheHit Crusaders
RU's Glorious e-Sport Extravaganza 2025,4,18:00,Chuck Norris Fan Club,StackOverflow Stackers
RU's Glorious e-Sport Extravaganza 2025,4,20:00,Chuck Norris Fan Club,Undefined Behavior United
RU's Glorious e-Sport Extravaganza 2025,5,08:00,Pepsi Max Punishers,Pepsi Max Overflow
RU's Glorious e-Sport Extravaganza 2025,5,10:00,CacheHit Crusaders,Undefined Behavior United
RU's Glorious e-Sport Extravaganza 2025,5,12:00,OffByOne Offense,RaceCondition Racers
RU's Glorious e-Sport Extravaganza 2025,5,14:00,Datalab Dominators,Undefined Behavior United
RU's Glorious e-Sport Extravaganza 2025,5,16:00,Pepsi Max Punishers,Bomblab Bombers
RU's Glorious e-Sport Extravaganza 2025,5,18:00,SegFault Spartans,Segmentation Foul
RU's Glorious e-Sport Extravaganza 2025,5,20:00,Datalab Dominators,CacheHit Crusaders
RU's Glorious e-Sport Extravaganza 2025,6,08:00,Assembly Avengers,WhileTrue Tryhards
RU's Glorious e-Sport Extravaganza 2025,6,10:00,OffByOne Offense,CacheHit Crusaders
RU's Glorious e-Sport Extravaganza 2025,6,12:00,SegFault Spartans,StackOverflow Stackers
RU's Glorious e-Sport Extravaganza 2025,6,14:00,IndentationError Invaders,Pepsi Max Overflow
RU's Glorious e-Sport Extravaganza 2025,6,16:00,StackOverflow Stackers,WhileTrue Tryhards
RU's Glorious e-Sport Extravaganza 2025,6,18:00,Segmentation Foul,RaceCondition Racers
RU's Glorious e-Sport Extravaganza 2025,6,20:00,Datalab Dominators,Bomblab Bombers
RU's Glorious e-Sport Extravaganza 2025,7,08:00,NullPointer Ninjas,Chuck Norris Fan Club
RU's Glorious e-Sport Extravaganza 2025,7,10:00,Pepsi Max Punishers,Segmentation Foul
RU's Glorious e-Sport Extravaganza 2025,7,12:00,WhileTrue Tryhards,RaceCondition Racers
RU's Glorious e-Sport Extravaganza 2025,7,14:00,CacheHit Crusaders,Segmentation Foul
RU's Glorious e-Sport Extravaganza 2025,7,16:00,Chuck Norris Fan Club,IndentationError Invaders
RU's Glorious e-Sport Extravaganza 2025,7,18:00,SegFault Spartans,Datalab Dominators
RU's Glorious e-Sport Extravaganza 2025,7,20:00,Datalab Dominators,Segmentation Foul
RU's Glorious e-Sport Extravaganza 2025,8,08:00,OffByOne Offense,WhileTrue Tryhards
RU's Glorious e-Sport Extravaganza 2025,8,10:00,Pepsi Max Punishers,Assembly Avengers
RU's Glorious e-Sport Extravaganza 2025,8,12:00,SegFault Spartans,Pepsi Max Overflow
RU's Glorious e-Sport Extravaganza 2025,8,14:00,NullPointer Ninjas,Datalab Dominators
RU's Glorious e-Sport Extravaganza 2025,8,16:00,WhileTrue Tryhards,Segmentation Foul
RU's Glorious e-Sport Extravaganza 2025,8,18:00,Bomblab Bombers,StackOverflow Stackers
RU's Glorious e-Sport Extravaganza 2025,8,20:00,Bomblab Bombers,Pepsi Max Overflow
RU's Glorious e-Sport Extravaganza 2025,9,08:00,Datalab Dominators,WhileTrue Tryhards
RU's Glorious e-Sport Extravaganza 2025,9,10:00,StackOverflow Stackers,Segmentation Foul
RU's Glorious e-Sport Extravaganza 2025,9,12:00,Chuck Norris Fan Club,Segmentation Foul
RU's Glorious e-Sport Extravaganza 2025,9,14:00,Bomblab Bombers,Undefined Behavior United
RU's Glorious e-Sport Extravaganza 2025,9,16:00,SegFault Spartans,Pepsi Max Punishers
RU's Glorious e-Sport Extravaganza 2025,9,18:00,Datalab Dominators,Pepsi Max Overflow
RU's Glorious e-Sport Extravaganza 2025,9,20:00,OffByOne Offense,Bomblab Bombers
RU's Glorious e-Sport Extravaganza 2025,10,08:00,OffByOne Offense,Pepsi Max Overflow
RU's Glorious e-Sport Extravaganza 2025,10,10:00,NullPointer Ninjas,RaceCondition Racers
RU's Glorious e-Sport Extravaganza 2025,10,12:00,WhileTrue Tryhards,Pepsi Max Overflow
RU's Glorious e-Sport Extravaganza 2025,10,14:00,IndentationError Invaders,Datalab Dominators
RU's Glorious e-Sport Extravaganza 2025,10,16:00,NullPointer Ninjas,StackOverflow Stackers
RU's Glorious e-Sport Extravaganza 2025,10,18:00,IndentationError Invaders,Segmentation Foul
RU's Glorious e-Sport Extravaganza 2025,10,20:00,NullPointer Ninjas,Assembly Avengers
RU's Glorious e-Sport Extravaganza 2025,11,08:00,Datalab Dominators,StackOverflow Stackers
RU's Glorious e-Sport Extravaganza 2025,11,10:00,NullPointer Ninjas,IndentationError Invaders
RU's Glorious e-Sport Extravaganza 2025,11,12:00,SegFault Spartans,NullPointer Ninjas
RU's Glorious e-Sport Extravaganza 2025,11,14:00,SegFault Spartans,Bomblab Bombers
RU's Glorious e-Sport Extravaganza 2025,11,16:00,Assembly Avengers,StackOverflow Stackers
RU's Glorious e-Sport Extravaganza 2025,11,18:00,StackOverflow Stackers,Undefined Behavior United
RU's Glorious e-Sport Extravaganza 2025,11,20:00,CacheHit Crusaders,WhileTrue Tryhards
RU's Glorious e-Sport Extravaganza 2025,12,08:00,Chuck Norris Fan Club,Datalab Dominators
RU's Glorious e-Sport Extravaganza 2025,12,10:00,SegFault Spartans,OffByOne Offense
RU's Glorious e-Sport Extravaganza 2025,12,12:00,Pepsi Max Punishers,StackOverflow Stackers
RU's Glorious e-Sport Extravaganza 2025,12,14:00,OffByOne Offense,Undefined Behavior United
RU's Glorious e-Sport Extravaganza 2025,12,16:00,StackOverflow Stackers,RaceCondition Racers
RU's Glorious e-Sport Extravaganza 2025,12,18:00,NullPointer Ninjas,Undefined Behavior United
RU's Glorious e-Sport Extravaganza 2025,12,20:00,IndentationError Invaders,StackOverflow Stackers
RU's Glorious e-Sport Extravaganza 2025,13,08:00,OffByOne Offense,IndentationError Invaders
RU's Glorious e-Sport Extravaganza 2025,13,10:00,IndentationError Invaders,Undefined Behavior United
RU's Glorious e-Sport Extravaganza 2025,13,12:00,NullPointer Ninjas,OffByOne Offense
RU's Glorious e-Sport Extravaganza 2025,13,14:00,OffByOne Offense,Assembly Avengers
RU's Glorious e-Sport Extravaganza 2025,13,16:00,Pepsi Max Punishers,Chuck Norris Fan Club
RU's Glorious e-Sport Extravaganza 2025,13,18:00,Chuck Norris Fan Club,WhileTrue Tryhards
RU's Glorious e-Sport Extravaganza 2025,13,20:00,IndentationError Invaders,WhileTrue Tryhards
RU's Glorious e-Sport Extravaganza 2025,14,08:00,Segmentation Foul,Undefined Behavior United
RU's Glorious e-Sport Extravaganza 2025,14,10:00,Bomblab Bombers,Segmentation Foul
RU's Glorious e-Sport Extravaganza 2025,14,12:00,Pepsi Max Punishers,IndentationError Invaders
RU's Glorious e-Sport Extravaganza 2025,14,14:00,Assembly Avengers,CacheHit Crusaders
RU's Glorious e-Sport Extravaganza 2025,14,16:00,Bomblab Bombers,CacheHit Crusaders
RU's Glorious e-Sport Extravaganza 2025,14,18:00,Chuck Norris Fan Club,Bomblab Bombers
RU's Glorious e-Sport Extravaganza 2025,14,20:00,Assembly Avengers,RaceCondition Racers
RU's Glorious e-Sport Extravaganza 2025,15,08:00,OffByOne Offense,StackOverflow Stackers
RU's Glorious e-Sport Extravaganza 2025,15,10:00,Assembly Avengers,Bomblab Bombers
RU's Glorious e-Sport Extravaganza 2025,15,12:00,Assembly Avengers,Pepsi Max Overflow
RU's Glorious e-Sport Extravaganza 2025,15,14:00,Chuck Norris Fan Club,Pepsi Max Overflow
RU's Glorious e-Sport Extravaganza 2025,15,16:00,NullPointer Ninjas,CacheHit Crusaders
RU's Glorious e-Sport Extravaganza 2025,15,18:00,SegFault Spartans,Undefined Behavior United
RU's Glorious e-Sport Extravaganza 2025,15,20:00,SegFault Spartans,IndentationError Invaders
RU's Glorious e-Sport Extravaganza 2025,16,08:00,OffByOne Offense,Datalab Dominators
RU's Glorious e-Sport Extravaganza 2025,16,10:00,OffByOne Offense,Chuck Norris Fan Club
RU's Glorious e-Sport Extravaganza 2025,16,12:00,Assembly Avengers,Segmentation Foul
RU's Glorious e-Sport Extravaganza 2025,16,14:00,Pepsi Max Punishers,Undefined Behavior United
RU's Glorious e-Sport Extravaganza 2025,16,16:00,NullPointer Ninjas,WhileTrue Tryhards
RU's Glorious e-Sport Extravaganza 2025,16,18:00,SegFault Spartans,Chuck Norris Fan Club
RU's Glorious e-Sport Extravaganza 2025,16,20:00,Datalab Dominators,RaceCondition Racers
RU's Glorious e-Sport Extravaganza 2025,17,08:00,IndentationError Invaders,CacheHit Crusaders
RU's Glorious e-Sport Extravaganza 2025,17,10:00,Bomblab Bombers,WhileTrue Tryhards
RU's Glorious e-Sport Extravaganza 2025,17,12:00,NullPointer Ninjas,Segmentation Foul
RU's Glorious e-Sport Extravaganza 2025,17,14:00,Pepsi Max Punishers,WhileTrue Tryhards
RU's Glorious e-Sport Extravaganza 2025,17,16:00,Assembly Avengers,Datalab Dominators
RU's Glorious e-Sport Extravaganza 2025,17,18:00,SegFault Spartans,WhileTrue Tryhards
RU's Glorious e-Sport Extravaganza 2025,17,20:00,Assembly Avengers,Undefined Behavior United
RU's Glorious e-Sport Extravaganza 2025,18,08:00,CacheHit Crusaders,RaceCondition Racers
